,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_win,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_win,year_basho,month_basho,day_basho,id,rank,rikishi,height_cm,weight_kg,prev_rank,prev_w,prev_l
12737,5967.0,19,285,0.0,1226.0,20,134,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12738,12094.0,8,0,0.0,12292.0,9,287,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12739,12292.0,9,287,1.0,12094.0,8,0,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12740,1284.0,6,222,1.0,12051.0,10,87,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12741,12051.0,10,87,0.0,1284.0,6,222,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12742,4980.0,4,204,0.0,6596.0,11,167,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12743,6596.0,11,167,1.0,4980.0,4,204,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12744,11845.0,5,94,1.0,12273.0,14,40,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12745,12273.0,14,40,0.0,11845.0,5,94,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12746,12144.0,3,48,1.0,12291.0,13,20,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12747,12291.0,13,20,0.0,12144.0,3,48,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12748,6473.0,31,243,0.0,11985.0,7,42,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12749,11985.0,7,42,1.0,6473.0,31,243,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12750,89.0,1,8,0.0,11785.0,29,36,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12751,11785.0,29,36,1.0,89.0,1,8,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12752,6642.0,30,33,1.0,9079.0,2,137,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12753,9079.0,2,137,0.0,6642.0,30,33,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12754,6753.0,32,98,0.0,11728.0,27,219,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12755,11728.0,27,219,1.0,6753.0,32,98,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12756,6491.0,28,86,0.0,7240.0,34,32,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12757,7240.0,34,32,1.0,6491.0,28,86,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12758,6614.0,33,201,0.0,12055.0,26,56,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12759,12055.0,26,56,1.0,6614.0,33,201,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12760,1226.0,20,134,0.0,6599.0,22,241,1.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
12761,6599.0,22,241,1.0,1226.0,20,134,0.0,1970,1,1,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0,125368.0
